"","B","NK","CD4T","CD8T","Mono","Neutro","Eosino"
"GSM1007245",0,0.0867507539654957,0.180160304092083,0.107333206163231,0.00708320105798946,0.618672534721201,0
"GSM1007246",0,0.0750133975752652,0.103320459723489,0.0241663215944117,0,0.797499821106834,0
"GSM1007247",0,0.00333278317992795,0.136849800906921,0.0892413510170175,0,0.770576064896134,0
"GSM1007248",0,0,0,0.208705551298175,0,0.791294448701825,0
"GSM1007249",0,0.0893394414830313,0.0971109629451115,0,0,0.813549595571857,0
"GSM1007250",0,0.0330216655242698,0,0.11414903162903,0,0.8528293028467,0
"GSM1007251",0,0.124588560869864,0.0688062695029868,0,0,0.80660516962715,0
"GSM1007252",0,0.175843181865622,0.186533403082858,0,0,0.63762341505152,0
"GSM1007253",0,0.131658051191012,0.0378275661873225,0.0218873709730436,0,0.808627011648621,0
"GSM1007254",0,0.0620215049091215,0.101822183857119,0.0234096599921893,0,0.81274665124157,0
"GSM1007255",0,0.0471383091740467,0.0517098979781516,0.0910345033204385,0,0.810117289527363,0
"GSM1007256",0,0.0710613373436086,0.0535518316799608,0.0749486823159696,0,0.800438148660461,0
"GSM1007257",0.00508439783571239,0.0328701326915619,0,0.0571393545787927,0,0.904906114893933,0
"GSM1007258",0,0.155550894415499,0.0826302567407965,0,0,0.761818848843705,0
"GSM1007259",0.00107811201023349,0.0638067262748087,0.108351896729502,0,0,0.826763264985456,0
"GSM1007260",0.0550179315451388,0.00736483405399634,0.102166959861019,0.0138281777459737,0,0.821622096793872,0
"GSM1007261",0,0,0.192904701125285,0.168151097213627,0.00741178820196384,0.631532413459125,0
"GSM1007262",0,0,0,0.148173583276315,0,0.851826416723685,0
"GSM1007263",0,0.0641671985252459,0.158065907807104,0.0772521332777275,0,0.700514760389922,0
"GSM1007264",0,0.0158333571023971,0,0.114968342093534,0,0.869198300804069,0
"GSM1007265",0,0.121786853109986,0.171873107387853,0.0129368142227451,0,0.693403225279416,0
"GSM1007266",0,0.134853253373568,0.105478707218713,0.0182751016444476,0,0.741392937763272,0
"GSM1007267",0,0,0.0393443105893726,0.0566595314868986,0.0063396755727817,0.897656482350947,0
"GSM1007268",0,0.0286731701828939,0.0636406312337037,0.0399015935332644,0,0.867784605050138,0
"GSM1007269",0.0502349067857485,0.0846403194398149,0.21416838914003,0.06269482566931,0,0.588261558965097,0
"GSM1007270",0,0.00398763413167486,0.070633027558859,0.0752430425800082,0,0.850136295729458,0
"GSM1007271",0,0.172874142904208,0.222827920432943,0,0,0.604297936662849,0
"GSM1007272",0,0.0538516023962923,0.160556105746786,0,0,0.785592291856922,0
"GSM1007273",0.0218492085273884,0.0194372016197587,0.217902694704223,0.0547476752371087,0,0.686063219911521,0
"GSM1007274",0.000337817073702338,0.0424737521200184,0.123279547610398,0.00312618136079747,0,0.830782701835084,0
"GSM1007275",0,0.0776199457940411,0.126103106410152,0,0,0.796276947795806,0
"GSM1007276",0,0.0834249421166905,0.0405351186954002,0.148131036845158,0,0.727908902342752,0
"GSM1007277",0,0,0,0.155933531295643,0,0.844066468704357,0
"GSM1007278",0,0.0312288326490406,0.0567457680302264,0.0886902007490413,0.00877332028799127,0.814561878283701,0
"GSM1007279",0,0.0772043313949412,0.118812135308491,0,0,0.803983533296568,0
"GSM1007280",0,0,0.0741677696559784,0.0260601875015232,0,0.899772042842498,0
"GSM1007281",0.0228812990557425,0.0475429631007649,0.11768320033971,0.0119279277736802,0,0.799964609730102,0
"GSM1007282",0.0194647824025859,0.036872974175067,0.0562000920558993,0.0015554676738259,0,0.885906683692622,0
"GSM1007283",0,0.0715535925216196,0.0977069724438775,0.00987031681805742,0,0.820869118216446,0
"GSM1007284",0,0,0.0317375928107721,0.131715460515118,0,0.83654694667411,0
"GSM1007285",0.0553954922753283,0.0273251553587084,0.0512065096298429,0.0433750166266435,0.0013770758000476,0.821320750309429,0
"GSM1007286",0,0.0679404426994233,0.227670305531158,0,0,0.704389251769419,0
